MAKE,year,Mileage,engine cc,selling_price
HYUNDAI,2015,18.9,1197,400000
MARUTI,2019,28.4,1248,700000
HONDA,2007,12.9,1799,350000
MARUTI,2016,17.5,1373,660000
MARUTI,2017,24.7,796,268000
MARUTI,2016,22.74,796,270000
CHEVROLET,2013,25.44,936,300000
TATA,2017,23.84,1199,450000
CHEVROLET,2012,25.44,936,220000
TATA,2009,13.93,2179,250000
FORD,2012,15.6,1196,300000
TATA,2009,17.88,1396,88000
MARUTI,2016,26.59,1248,561000
MARUTI,2018,28.4,1248,755000
DATSUN,2017,22.7,799,235000
MARUTI,2011,20.92,998,165000
MARUTI,2008,19.3,1248,190000
TATA,2011,17.2,1396,110000
MAHINDRA,2012,13.6,2523,320000
HYUNDAI,2016,18.6,1197,540000
HYUNDAI,2013,21.1,814,180000
MARUTI,2016,15.37,1196,270000
MARUTI,2012,17.5,1197,450000
MARUTI,2014,19.1,1197,450000
CHEVROLET,2015,18.6,1199,200000
TATA,2017,23.84,1199,425000
CHEVROLET,2016,18.2,1199,400000
MARUTI,2009,19.7,796,125000
JEEP,2018,17.1,1956,1600000
HONDA,2015,17.4,1497,900000
VOLKSWAGEN,2012,20.54,1598,450000
MARUTI,2011,20.92,998,210000
HYUNDAI,2018,18.6,1197,801000
TATA,2014,15.42,1405,317000
MARUTI,2015,16.02,1373,600000
HYUNDAI,2014,18.5,1197,330000
HYUNDAI,2017,21.1,814,320000
HYUNDAI,2007,15.3,1341,120000
MARUTI,2009,19.7,796,130000
CHEVROLET,2015,18.2,1199,220000
TATA,2015,17.57,1193,340000
FORD,2013,19.68,1399,200000
MARUTI,2002,19.7,796,140000
TOYOTA,2013,12.99,2494,1000000
MAHINDRA,2010,13.6,2523,495000
MARUTI,2015,22.74,796,236000
MARUTI,2015,20.51,998,390000
MARUTI,2009,19.3,1248,275000
TATA,2015,14.1,2179,503000
MARUTI,2017,24.3,1248,775000
TOYOTA,2016,11.36,2755,1800000
HYUNDAI,2016,19.67,1582,850000
MARUTI,2018,24.3,1248,750000
HYUNDAI,2018,18.6,1197,570000
HYUNDAI,2018,18.9,1197,580000
HONDA,2016,18.7,1199,484999
HONDA,2017,15.4,1497,700000
HYUNDAI,2012,17.7,1497,415000
NISSAN,2015,19.34,1198,325000
FORD,2018,18.16,1196,550000
HYUNDAI,2017,21.1,814,300000
DATSUN,2018,22.7,799,217000
FORD,2018,19,1194,700000
HYUNDAI,2019,20.3,1086,466000
FORD,2014,23,1498,484999
NISSAN,2018,22.71,1461,670000
HYUNDAI,2018,18.9,1197,500000
MARUTI,2016,23.65,1248,675000
HYUNDAI,2011,23,1396,220000
JEEP,2017,17.1,1956,1650000
MARUTI,2013,20.77,1248,630000
TATA,2010,18.8,1248,250000
MARUTI,2004,18.9,998,120000
SKODA,2015,21.14,1498,300000
HYUNDAI,2013,22.32,1582,525000
MAHINDRA,2016,15.4,1997,1100000
RENAULT,2012,19.01,1461,480000
MAHINDRA,2014,15.1,2179,605000
MARUTI,2016,24.7,796,250000
FORD,2013,20,1399,245000
HYUNDAI,2012,20.36,1197,210000
MARUTI,2020,21.21,1197,730000
MAHINDRA,2012,15.96,2523,500000
MARUTI,2015,20.51,998,400000
HYUNDAI,2015,21.1,814,280000
TOYOTA,2009,12.8,2494,561000
MITSUBISHI,2013,13.5,2477,950000
CHEVROLET,2016,25.44,936,375000
VOLKSWAGEN,2017,21.66,1498,700000
TOYOTA,2012,17.6,1496,375000
HYUNDAI,2012,21.1,814,270000
RENAULT,2016,25.17,799,300000
MARUTI,2010,19,998,225000
TOYOTA,2015,12.99,2494,1350000
MARUTI,2010,18.2,998,200000
HYUNDAI,2011,22.32,1582,400000
HONDA,2013,25.8,1498,500000
MARUTI,2015,22,1197,500000
TOYOTA,2013,14.24,2755,1500000
FORD,2015,15.8,1499,555000
HYUNDAI,2018,18.9,1197,580000
TATA,2011,13.7,2179,337000
TATA,2011,12.2,1948,175000
TATA,2009,18.8,1248,180000
HYUNDAI,2011,19.81,1086,200000
TATA,2016,19.09,1405,260000
RENAULT,2016,23.01,999,350000
MAHINDRA,2011,13.6,2523,409999
MAHINDRA,2017,18.49,1493,655000
MARUTI,2015,26.59,1248,370000
MARUTI,2013,22.74,796,200000
MARUTI,2017,24.52,1248,800000
TATA,2019,24,1199,550000
FORD,2012,20,1399,300000
MARUTI,2017,16.8,796,220000
MARUTI,2011,18.9,998,196000
HYUNDAI,2008,19.81,1086,135000
TATA,2015,17.57,1193,299000
MARUTI,2017,23.95,998,300000
MARUTI,2017,24.52,1248,720000
TATA,2016,14.1,2179,650000
MARUTI,2016,23.95,998,300000
HYUNDAI,2019,24,1186,750000
RENAULT,2016,25.17,799,260000
MARUTI,2011,22.9,1248,300000
MAHINDRA,2014,15.96,2523,600000
HONDA,2004,9,2997,275000
MARUTI,2015,23.95,998,250000
MARUTI,2014,23.4,1248,420000
HYUNDAI,2015,21.1,814,235000
MAHINDRA,2016,15.4,2179,1100000
MARUTI,2019,23.95,998,360000
HYUNDAI,2014,24,1120,380000
FORD,2016,22.77,1498,650000
MARUTI,2016,20.51,998,350000
MAHINDRA,2017,15.96,2523,700000
HYUNDAI,2010,23,1396,270000
TATA,2017,22.95,1248,450000
MAHINDRA,2016,16.55,2498,630000
MAHINDRA,2010,14,2498,229999
MAHINDRA,2010,14,2498,229999
MARUTI,2011,18.9,998,270000
TATA,2009,0,1172,135000
MARUTI,2012,18.9,998,275000
JAGUAR,2017,13.6,1999,2625000
LEXUS,2019,22.37,2487,5150000
JAGUAR,2017,19.33,1999,3200000
TATA,2015,14.1,2179,503000
VOLVO,2019,18,1969,3800000
TOYOTA,2016,19.16,2494,2000000
MARUTI,2013,21.79,998,225000
MARUTI,2018,27.39,1248,740000
HONDA,2016,18.2,1199,550000
TOYOTA,2013,12.99,2494,750000
MARUTI,2019,22,1197,650000
TOYOTA,2017,16.78,1496,625000
MARUTI,2018,22,1197,600000
HYUNDAI,2017,24,1186,450000
BMW,2019,16.78,1995,5400000
BMW,2019,16.78,1995,5500000
HONDA,2019,19,1199,779000
SKODA,2016,14.3,1598,645000
VOLVO,2018,16.8,1984,2475000
MAHINDRA,2015,18.49,1493,634000
MARUTI,2012,19,998,235000
HYUNDAI,2008,20.36,1197,275000
MAHINDRA,2014,16.55,2498,700000
FIAT,2013,20.3,1248,400000
MARUTI,2012,19.7,796,215000
HYUNDAI,2009,17.1,1493,150000
MARUTI,2018,25.1,1248,950000
MAHINDRA,2015,18.49,1493,730000
TATA,2012,19,1405,135000
HYUNDAI,2016,19.1,1197,350000
MAHINDRA,2018,18.15,1198,535000
MARUTI,2018,19,1197,455000
MARUTI,2019,21.21,1197,655000
FORD,2019,23,1498,800000
TOYOTA,2018,17.8,1496,1100000
MERCEDES,2016,13,2143,3000000
TOYOTA,2012,11.5,2982,1225000
MAHINDRA,2018,18.15,1198,340000
VOLKSWAGEN,2011,20.54,1598,300000
FORD,2016,18.16,1196,370000
MAHINDRA,2013,15.96,2523,330000
HYUNDAI,2014,17.92,1086,238000
HYUNDAI,2013,17.92,1086,200000
NISSAN,2014,22.71,1461,320000
HYUNDAI,2009,17.92,1086,114999
MARUTI,2015,20.51,998,320000
HYUNDAI,2010,19.81,1086,210000
MAHINDRA,2011,14,2489,200000
MARUTI,2009,18.9,1061,135000
TATA,2015,19.09,1405,350000
MAHINDRA,2014,13.6,2523,350000
MARUTI,2017,28.4,1248,680000
MARUTI,2010,17.8,1248,200000
RENAULT,2016,23.01,999,300000
MAHINDRA,2011,14,2498,270000
MARUTI,2012,18.9,998,225000
MAHINDRA,2008,13.6,2523,250000
MAHINDRA,2015,18.49,1493,590000
HYUNDAI,2015,21.1,814,290000
MARUTI,2010,19,998,100000
MARUTI,2016,23.1,998,395000
HYUNDAI,2014,21.1,814,195000
TATA,2011,26,624,45000
MAHINDRA,2009,13.6,2523,270000
CHEVROLET,2014,13.58,2499,600000
HYUNDAI,2015,22.54,1396,715000
HYUNDAI,2019,18.6,1197,600000
MAHINDRA,2019,18.49,1493,875000
MAHINDRA,2011,13.5,2179,420000
HONDA,2007,10.1,2354,325000
DATSUN,2017,20.63,1198,385000
MAHINDRA,2016,18.15,1198,300000
HYUNDAI,2012,21.9,1396,335000
MARUTI,2014,23.1,998,300000
HYUNDAI,2004,13.2,1495,80000
MAHINDRA,2012,15.96,2523,400000
TATA,2012,19.09,1396,168000
MAHINDRA,2016,15.96,2523,550000
MAHINDRA,2011,13.6,2523,320000
MAHINDRA,2011,15.96,2523,320000
NISSAN,2011,16.95,1498,350000
TATA,2013,21.02,1248,280000
HYUNDAI,2017,24.4,1120,550000
HYUNDAI,2018,20.14,1197,500000
FORD,2019,19,1194,700000
SKODA,2013,20.5,1598,380000
MAHINDRA,2012,15.96,2523,340000
MAHINDRA,2007,13.6,2523,160000
TOYOTA,2014,12.99,2494,750000
HYUNDAI,2018,18.9,1197,531000
RENAULT,2017,23.01,999,300000
VOLKSWAGEN,2014,20.14,1498,350000
CHEVROLET,2010,18.6,1199,150000
MARUTI,2015,20.4,1197,450000
MAHINDRA,2017,16,2179,1625000
TATA,2006,16.8,1405,85000
HYUNDAI,2018,18.9,1197,450000
TATA,2017,27.28,1047,360000
MARUTI,2020,23.95,998,390000
MARUTI,2011,15.37,1196,145000
MAHINDRA,2012,12.05,2179,540000
TOYOTA,2008,12.8,2494,290000
TATA,2013,25,1396,300000
FORD,2017,18.16,1196,565000
MAHINDRA,2011,10.5,2609,441000
HYUNDAI,2011,21.1,814,180000
HYUNDAI,2013,21.1,814,200000
