MAKE,year,selling_price,engine cc,Mileage
MARUTI ,2015,360000,998,23.1
MARUTI ,2008,105000,796,19.7
MARUTI ,2013,625000,1248,20.77
HYUNDAI,2009,135000,1086,17.92
MARUTI ,2015,700000,1248,20.77
HONDA ,2019,690000,1198,17.8
AUDI,2018,3975000,1968,17.01
LEXUS ,2019,5150000,2487,22.37
JAGUAR ,2017,3200000,1999,19.33
JEEP,2017,4100000,3604,9.5
LAND ROVE,2019,4500000,1999,12.83
MERCEDES,2017,6000000,2987,13.5
BMW ,2018,3790000,1995,22.48
BMW ,2019,5800000,1995,16.78
SKODA ,2018,1864999,1798,14.67
MERCEDES,2016,2700000,2143,15
MG ,2019,1750000,1451,13.96
HONDA ,2017,795000,1497,18
TOYOTA ,2013,625000,1798,14.28
VOLVO ,2018,3400000,1969,18
AUDI,2015,2650000,2967,12.07
MARUTI ,2015,535000,1248,26.21
MERCEDES,2017,5850000,2987,13.5
BMW ,2010,975000,2497,10.8
HYUNDAI,2016,805000,1797,16.3
JAGUAR ,2017,2625000,1999,13.6
TATA,2018,811000,1198,17
VOLKSWAGEN,2011,375000,1598,15.04
HYUNDAI,2012,550000,1797,16.3
SKODA ,2016,645000,1598,14.3
MERCEDES,2018,2550000,1991,15.04
MARUTI ,2014,599000,1373,16.02
MERCEDES,2017,2700000,1991,14.74
HONDA ,2017,875000,1497,15.6
TOYOTA ,2019,894999,1197,19.56
MARUTI ,2011,175000,998,23.95
MARUTI ,2012,340000,1197,21.21
TOYOTA ,2016,1525000,2755,11.36
TATA,2018,1025000,1497,21.5
BMW ,2016,2150000,1995,22.69
TOYOTA ,2016,1900000,2494,19.16
BMW ,2016,2900000,1995,18.12
TOYOTA ,2009,450000,2362,12.1
MARUTI ,2016,850000,1373,17.5
VOLVO ,2017,10000000,1969,42
VOLKSWAGEN,2011,300000,1598,20.54
FORD,2018,575000,1196,18.16
FORD,2011,160000,1399,20
MARUTI ,2015,515000,1197,20.4
MARUTI ,2015,390000,998,20.51
HYUNDAI,2016,550000,1197,18.6
MARUTI ,1999,40000,796,16.1
MARUTI ,2010,220000,1248,21.1
HYUNDAI,2015,425000,1197,18.9
VOLKSWAGEN,2019,480000,999,19.44
HYUNDAI,2014,400000,1197,18.9
MARUTI ,2014,487000,1197,19.1
HYUNDAI,2016,386000,1197,19.1
HONDA ,2005,100000,1493,13
TOYOTA ,2010,300000,1364,21.43
DAEWOO ,2000,100000,796,18.5
TOYOTA ,2014,1750000,2982,13
MAHINDRA ,2016,450000,1198,18.15
TATA,2017,490000,1248,22.95
HONDA ,2009,345000,1497,17
MARUTI ,2005,85000,993,17.3
MARUTI ,2010,215000,998,18.9
HYUNDAI,2010,320000,1599,16.2
MARUTI ,2016,459999,1197,20.85
HYUNDAI,2005,65000,1341,15.3
HYUNDAI,2020,720000,1197,18.6
MARUTI ,2017,800000,1248,28.09
TATA,2019,520000,1199,20.3
MARUTI ,2015,580000,1248,20.77
HONDA ,2015,600000,1497,17.4
HONDA ,2014,290000,1198,19.4
MARUTI ,2017,550000,1197,20.85
HYUNDAI,2013,375000,1197,18.5
MARUTI ,2018,420000,998,20.51
MARUTI ,2017,550000,1197,21.21
MARUTI ,2018,270000,796,24.7
MARUTI ,2018,700000,1197,22
MARUTI ,2017,500000,1197,20.4
TATA,2019,1250000,2179,17.6
HYUNDAI,2013,320000,1197,18.5
MARUTI ,2018,700000,1248,28.4
MARUTI ,2015,290000,998,20.51
TOYOTA ,2012,550000,1794,14.53
HONDA ,2012,265000,1198,19.4
MARUTI ,2018,830000,1197,21.4
TATA,2017,800000,2179,14.1
MARUTI ,2011,160000,796,19.7
RENAULT ,2018,335000,799,25.17
DATSUN ,2017,329000,1198,20.63
MARUTI ,2017,775000,1248,24.3
HYUNDAI,2020,524000,1197,20.14
MARUTI ,2015,245000,796,22.74
HYUNDAI,2012,275000,1197,17
TATA,2018,520000,1193,17.57
NISSAN ,2014,550000,1498,16.95
FORD,2018,910000,1497,17
NISSAN ,2015,300000,1198,19.49
MARUTI ,2016,350000,998,20.51
MAHINDRA ,2013,900000,2696,12.83
MAHINDRA ,2013,300000,1493,17.21
MARUTI ,2010,250000,1248,21.1
HYUNDAI,2017,1100000,1582,19.67
RENAULT ,2016,270000,799,25.17
MARUTI ,2015,640000,1248,20.77
MAHINDRA ,2015,650000,2179,15.1
MARUTI ,2017,409999,1196,15.37
HYUNDAI,2011,165000,1086,17.92
HYUNDAI,2007,80000,1495,13.2
MAHINDRA ,2012,535000,2179,15.1
TOYOTA ,2013,700000,2494,12.99
MARUTI ,2013,550000,1248,23.4
HONDA ,2019,680000,1199,19
HYUNDAI,2009,200000,1197,20.36
MARUTI ,2014,500000,1248,23.4
MARUTI ,2016,1000000,1248,24.52
HYUNDAI,2008,110000,1341,14.2
HYUNDAI,2012,320000,1197,18.5
MARUTI ,2015,350000,1197,20.4
TATA,2013,170000,1405,19.4
HYUNDAI,2017,800000,1396,22.54
MARUTI ,2017,500000,1248,26.8
TATA,2017,1380000,2179,17.6
MAHINDRA ,2019,1300000,1497,17.3
HYUNDAI,2013,530000,1582,22.32
MARUTI ,2012,360000,1248,23.4
MARUTI ,2012,310000,1248,19.3
HONDA ,2015,725000,1498,26
MARUTI ,2012,340000,1248,19.3
HYUNDAI,2017,550000,1186,25.4
TOYOTA ,2011,1150000,2982,11.5
TATA,2016,380000,1047,27.28
NISSAN ,2013,350000,1498,17.97
HYUNDAI,2019,610000,1197,18.6
MARUTI ,2015,525000,1197,20.85
TOYOTA ,2011,480000,2494,12.8
MAHINDRA ,2017,780000,2498,16.55
MARUTI ,2012,320000,1248,19.3
MARUTI ,2014,375000,1197,20.4
DATSUN ,2019,300000,1198,19.02
HYUNDAI,2015,500000,1396,22.54
MAHINDRA ,2011,404000,2179,12.05
TATA,2015,500000,2956,14.07
TATA,2017,350000,1047,27.28
TATA,2015,380000,1193,17.57
HYUNDAI,2008,114999,1495,13.2
HONDA ,2014,335000,1198,19.4
HYUNDAI,2015,465000,1197,18.9
TATA,2012,290000,1248,21.02
MARUTI ,2005,110000,796,19.7
TATA,2011,450000,2179,11.57
MAHINDRA ,2009,400000,2523,13.6
MAHINDRA ,2007,210000,2523,13.6
MERCEDES,2018,4600000,2143,17.9
MARUTI ,2016,220000,796,16.8
HYUNDAI,2017,450000,1197,18.9
HYUNDAI,2017,450000,1197,18.9
HYUNDAI,2013,290000,1197,16.95
MARUTI ,2016,520000,1197,20.4
HYUNDAI,2011,265000,1197,16.95
MARUTI ,2012,330000,1197,18.6
MARUTI ,2012,330000,1197,18.6
MAHINDRA ,2014,509999,2523,15.96
HYUNDAI,2014,500000,1591,17.1
HYUNDAI,2015,525000,1197,17.19
MARUTI ,2019,675000,1197,21.01
HYUNDAI,2010,300000,1197,17
MARUTI ,2005,90000,796,19.7
MARUTI ,2017,650000,1248,26.59
MARUTI ,2014,409000,1197,19.1
HYUNDAI,2015,395000,1120,24
MARUTI ,2014,400000,1197,19.1
CHEVROLET ,2012,120000,1199,18.6
TATA,2018,645000,1199,20.3
MARUTI ,2006,81000,796,16.1
HONDA ,2017,1300000,1498,25.6
HONDA ,2017,1250000,1498,25.6
MARUTI ,2013,535000,1373,16.02
NISSAN ,2014,555000,1461,19.01
HONDA ,2014,725000,1497,17.4
RENAULT ,2016,229999,799,25.17
TOYOTA ,2013,800000,2494,12.99
MARUTI ,2017,409999,998,20.51
HYUNDAI,2018,1210000,1396,21.38
TATA,2017,400000,1199,23.84
HYUNDAI,2018,520000,1186,24
MARUTI ,2016,650000,1197,21.4
MARUTI ,2011,325000,1298,16.1
MARUTI ,2012,420000,1197,17.4
MARUTI ,2014,400000,1197,20.4
HYUNDAI,2010,254999,1197,17
MARUTI ,2003,65000,993,17.3
MARUTI ,2017,351000,998,23.1
TOYOTA ,2007,404000,2494,12.8
MARUTI ,2011,185000,1248,21.1
NISSAN ,2011,250000,1461,23.08
MARUTI ,2002,60000,993,17.3
HYUNDAI,2013,500000,1591,17.1
MARUTI ,2007,85000,998,18.2
MARUTI ,2005,85000,796,19.7
MARUTI ,2011,265000,1248,19.3
MARUTI ,2010,130000,998,19
MARUTI ,2013,480000,1248,20.77
MARUTI ,2008,170000,1248,17.8
NISSAN ,2011,275000,1461,23.08
MARUTI ,2005,89000,998,18.9
FORD,2010,170000,1399,20
MAHINDRA ,2019,1090000,1197,17
HYUNDAI,2017,1100000,1582,17.01
MARUTI ,2018,610000,1197,22
DATSUN ,2016,335000,1198,20.63
HYUNDAI,2015,434999,1197,18.9
TOYOTA ,2018,3000000,2755,14.24
RENAULT ,2018,390000,799,20.71
HONDA ,2012,325000,1198,18.5
VOLKSWAGEN,2019,640000,1198,17
NISSAN ,2012,450000,1498,16.95
TOYOTA ,2013,400000,1364,23.59
HYUNDAI,2009,215000,1197,20.36
RENAULT ,2014,570000,1461,20.45
MAHINDRA ,2012,680000,2179,15.1
TOYOTA ,2008,325000,2494,12.8
TATA,2011,150000,1193,15.64
HYUNDAI,2013,690000,1797,14.5
MERCEDES,2013,1550000,2143,14.84
TATA,2012,64000,624,25.4
NISSAN ,2013,250000,1461,23.08
MARUTI ,2005,65000,998,18.9
MARUTI ,2016,550000,1248,26.59
HYUNDAI,2010,140000,1197,20.36
RENAULT ,2016,300000,799,25.17
VOLKSWAGEN,2016,800000,1798,16.34
JAGUAR ,2017,2625000,1999,13.6
LEXUS ,2019,5150000,2487,22.37
JAGUAR ,2017,3200000,1999,19.33
TATA,2015,503000,2179,14.1
VOLVO ,2019,3800000,1969,18
TOYOTA ,2016,2000000,2494,19.16
MARUTI ,2013,225000,998,21.79
MARUTI ,2018,740000,1248,27.39
HONDA ,2016,550000,1199,18.2
TOYOTA ,2013,750000,2494,12.99
MARUTI ,2019,650000,1197,22
TOYOTA ,2017,625000,1496,16.78
MARUTI ,2018,600000,1197,22
HYUNDAI,2017,450000,1186,24
BMW ,2019,5400000,1995,16.78
BMW ,2019,5500000,1995,16.78
HONDA ,2019,779000,1199,19
SKODA ,2016,645000,1598,14.3
VOLVO ,2018,2475000,1984,16.8
HYUNDAI,2010,150000,1197,20.36
HONDA ,2009,500000,2354,11.1
MARUTI ,2015,480000,1248,26.59
HYUNDAI,2014,535000,1582,22.32
TOYOTA ,2005,250000,2494,12.8
MARUTI ,2012,300000,1248,21.5
HYUNDAI,2009,340000,1599,13.9
HYUNDAI,2009,340000,1493,16.8
MARUTI ,2016,240000,796,22.74
HONDA ,2018,1085000,1497,18
MARUTI ,2017,750000,1248,28.4
TATA,2012,95000,1405,17
MARUTI ,2014,215000,998,23.95
MAHINDRA ,2016,1290000,2179,16
MARUTI ,2010,150000,998,20.92
HYUNDAI,2013,219000,814,21.1
TATA,2018,325000,1199,23.84
MARUTI ,2013,260000,1196,15.1
JAGUAR ,2017,2625000,1999,13.6
LEXUS ,2019,5150000,2487,22.37
JAGUAR ,2017,3200000,1999,19.33
TATA,2015,503000,2179,14.1
VOLVO ,2019,3800000,1969,18
TOYOTA ,2016,2000000,2494,19.16
MARUTI ,2013,225000,998,21.79
MARUTI ,2018,740000,1248,27.39
HONDA ,2016,550000,1199,18.2
TOYOTA ,2013,750000,2494,12.99
MARUTI ,2019,650000,1197,22
TOYOTA ,2017,625000,1496,16.78
MARUTI ,2018,600000,1197,22
HYUNDAI,2017,450000,1186,24
BMW ,2019,5400000,1995,16.78
BMW ,2019,5500000,1995,16.78
HONDA ,2019,779000,1199,19
SKODA ,2016,645000,1598,14.3
VOLVO ,2018,2475000,1984,16.8
HONDA ,2019,700000,1498,23.8
HYUNDAI,2017,950000,1396,21.38
MARUTI ,2010,160000,796,19.7
HYUNDAI,2015,409999,1120,24.4
TOYOTA ,2015,840000,2494,12.99
TOYOTA ,2013,450000,1364,23.59
MARUTI ,2017,900000,1248,28.4
TOYOTA ,2008,570000,2494,12.8
NISSAN ,2011,254999,1461,23.08
MARUTI ,2009,130000,796,16.1
MARUTI ,2013,530000,1248,23.4
VOLKSWAGEN,2015,520000,1498,20.14
MAHINDRA ,2011,229999,1461,21
MARUTI ,2004,81000,796,16.1
MARUTI ,2016,600000,1248,25.2
HYUNDAI,2015,409999,1197,19.1
MARUTI ,2010,120000,796,16.1
MARUTI ,2014,320000,998,23.1
FORD,2015,292000,1399,20
TATA,2012,390000,2179,13.93
FORD,2016,550000,1196,18.16
MARUTI ,2014,385000,998,23.1
HYUNDAI,2016,800000,1591,15.29
MARUTI ,2019,675000,1197,21.21
TATA,2018,1525000,2179,17.6
FORD,2018,950000,1498,23
HYUNDAI,2015,610000,1396,21.19
HYUNDAI,2012,525000,1396,22.54
HONDA ,2019,700000,1498,23.8
MAHINDRA ,2015,375000,2523,15.96
NISSAN ,2015,580000,1461,20.45
MARUTI ,2015,434999,1197,20.4
DATSUN ,2020,350000,999,22.5
TOYOTA ,2012,730000,2494,12.99
HYUNDAI,2015,600000,1197,18.6
TOYOTA ,2015,1050000,2494,12.99
MARUTI ,2017,735000,1248,27.39
RENAULT ,2018,1050000,1461,19.6
CHEVROLET ,2016,420000,1248,18.2
MARUTI ,2017,800000,1248,23.65
TOYOTA ,2015,2000000,2982,12.55
MARUTI ,2016,600000,1248,26.59
TOYOTA ,2015,1900000,2982,12.55
CHEVROLET ,2011,500000,1991,11.5
TATA,2011,200000,1405,17
NISSAN ,2016,370000,1198,19.49
HYUNDAI,2010,260000,1493,16.2
MAHINDRA ,2016,280000,1198,25.32
MARUTI ,2014,610000,1373,16.02
FORD,2013,300000,1498,23.5
TATA,2010,140000,1405,16.6
HYUNDAI,2008,229999,1086,19.81
MARUTI ,2010,200000,998,19
MARUTI ,2011,200000,998,18.9
HYUNDAI,2015,560000,1582,23.9
MARUTI ,2016,750000,1248,24.52
MARUTI ,2017,585000,1248,25.2
HYUNDAI,2016,760000,1591,17.01
MARUTI ,2014,430000,1248,25.2
MAHINDRA ,2020,480000,1198,25.32
KIA ,2019,643000,1493,20.8
HYUNDAI,2018,500000,1197,20.14
HONDA ,2016,425000,1198,18.5
MARUTI ,2014,250000,796,22.74
MARUTI ,2016,285000,793,27.62
MARUTI ,2008,160000,1298,17.5
VOLKSWAGEN,2011,250000,1598,20.54
CHEVROLET ,2013,170000,1199,18.6
TOYOTA ,2013,409999,1364,23.59
HYUNDAI,2015,400000,1197,18.9
MARUTI ,2019,700000,1248,28.4
HONDA ,2007,350000,1799,12.9
MARUTI ,2016,660000,1373,17.5
MARUTI ,2017,268000,796,24.7
MARUTI ,2016,270000,796,22.74
CHEVROLET ,2013,300000,936,25.44
TATA,2017,450000,1199,23.84
CHEVROLET ,2012,220000,936,25.44
TATA,2009,250000,2179,13.93
FORD,2012,300000,1196,15.6
TATA,2009,88000,1396,17.88
MARUTI ,2016,561000,1248,26.59
MARUTI ,2018,755000,1248,28.4
DATSUN ,2017,235000,799,22.7
MARUTI ,2011,165000,998,20.92
MARUTI ,2008,190000,1248,19.3
TATA,2011,110000,1396,17.2
MAHINDRA ,2012,320000,2523,13.6
HYUNDAI,2016,540000,1197,18.6
HYUNDAI,2013,180000,814,21.1
MARUTI ,2016,270000,1196,15.37
MARUTI ,2012,450000,1197,17.5
MARUTI ,2014,450000,1197,19.1
CHEVROLET ,2015,200000,1199,18.6
TATA,2017,425000,1199,23.84
CHEVROLET ,2016,400000,1199,18.2
MARUTI ,2009,125000,796,19.7
JEEP,2018,1600000,1956,17.1
HONDA ,2015,900000,1497,17.4
VOLKSWAGEN,2012,450000,1598,20.54
MARUTI ,2011,210000,998,20.92
HYUNDAI,2018,801000,1197,18.6
TATA,2014,317000,1405,15.42
MARUTI ,2015,600000,1373,16.02
HYUNDAI,2014,330000,1197,18.5
HYUNDAI,2017,320000,814,21.1
HYUNDAI,2007,120000,1341,15.3
MARUTI ,2009,130000,796,19.7
CHEVROLET ,2015,220000,1199,18.2
TATA,2015,340000,1193,17.57
FORD,2013,200000,1399,19.68
MARUTI ,2002,140000,796,19.7
TOYOTA ,2013,1000000,2494,12.99
MAHINDRA ,2010,495000,2523,13.6
MARUTI ,2015,236000,796,22.74
MARUTI ,2015,390000,998,20.51
MARUTI ,2009,275000,1248,19.3
TATA,2015,503000,2179,14.1
MARUTI ,2017,775000,1248,24.3
TOYOTA ,2016,1800000,2755,11.36
HYUNDAI,2016,850000,1582,19.67
MARUTI ,2018,750000,1248,24.3
HYUNDAI,2018,570000,1197,18.6
HYUNDAI,2018,580000,1197,18.9
HONDA ,2016,484999,1199,18.7
HONDA ,2017,700000,1497,15.4
HYUNDAI,2012,415000,1497,17.7
NISSAN ,2015,325000,1198,19.34
FORD,2018,550000,1196,18.16
HYUNDAI,2017,300000,814,21.1
DATSUN ,2018,217000,799,22.7
FORD,2018,700000,1194,19
HYUNDAI,2019,466000,1086,20.3
FORD,2014,484999,1498,23
NISSAN ,2018,670000,1461,22.71
HYUNDAI,2018,500000,1197,18.9
MARUTI ,2016,675000,1248,23.65
HYUNDAI,2011,220000,1396,23
JEEP,2017,1650000,1956,17.1
MARUTI ,2013,630000,1248,20.77
TATA,2010,250000,1248,18.8
MARUTI ,2004,120000,998,18.9
SKODA ,2015,300000,1498,21.14
HYUNDAI,2013,525000,1582,22.32
MAHINDRA ,2016,1100000,1997,15.4
RENAULT ,2012,480000,1461,19.01
MAHINDRA ,2014,605000,2179,15.1
MARUTI ,2016,250000,796,24.7
FORD,2013,245000,1399,20
HYUNDAI,2012,210000,1197,20.36
MARUTI ,2020,730000,1197,21.21
MAHINDRA ,2012,500000,2523,15.96
MARUTI ,2015,400000,998,20.51
HYUNDAI,2015,280000,814,21.1
TOYOTA ,2009,561000,2494,12.8
MITSUBISHI,2013,950000,2477,13.5
CHEVROLET ,2016,375000,936,25.44
VOLKSWAGEN,2017,700000,1498,21.66
TOYOTA ,2012,375000,1496,17.6
HYUNDAI,2012,270000,814,21.1
RENAULT ,2016,300000,799,25.17
MARUTI ,2010,225000,998,19
TOYOTA ,2015,1350000,2494,12.99
MARUTI ,2010,200000,998,18.2
HYUNDAI,2011,400000,1582,22.32
HONDA ,2013,500000,1498,25.8
MARUTI ,2015,500000,1197,22
TOYOTA ,2013,1500000,2755,14.24
FORD,2015,555000,1499,15.8
HYUNDAI,2018,580000,1197,18.9
TATA,2011,337000,2179,13.7
TATA,2011,175000,1948,12.2
TATA,2009,180000,1248,18.8
HYUNDAI,2011,200000,1086,19.81
TATA,2016,260000,1405,19.09
RENAULT ,2016,350000,999,23.01
MAHINDRA ,2011,409999,2523,13.6
MAHINDRA ,2017,655000,1493,18.49
MARUTI ,2015,370000,1248,26.59
MARUTI ,2013,200000,796,22.74
MARUTI ,2017,800000,1248,24.52
TATA,2019,550000,1199,24
FORD,2012,300000,1399,20
MARUTI ,2017,220000,796,16.8
MARUTI ,2011,196000,998,18.9
HYUNDAI,2008,135000,1086,19.81
TATA,2015,299000,1193,17.57
MARUTI ,2017,300000,998,23.95
MARUTI ,2017,720000,1248,24.52
TATA,2016,650000,2179,14.1
MARUTI ,2016,300000,998,23.95
HYUNDAI,2019,750000,1186,24
RENAULT ,2016,260000,799,25.17
MARUTI ,2011,300000,1248,22.9
MAHINDRA ,2014,600000,2523,15.96
HONDA ,2004,275000,2997,9
MARUTI ,2015,250000,998,23.95
MARUTI ,2014,420000,1248,23.4
HYUNDAI,2015,235000,814,21.1
MAHINDRA ,2016,1100000,2179,15.4
MARUTI ,2019,360000,998,23.95
HYUNDAI,2014,380000,1120,24
FORD,2016,650000,1498,22.77
MARUTI ,2016,350000,998,20.51
MAHINDRA ,2017,700000,2523,15.96
HYUNDAI,2010,270000,1396,23
TATA,2017,450000,1248,22.95
MAHINDRA ,2016,630000,2498,16.55
MAHINDRA ,2010,229999,2498,14
MAHINDRA ,2010,229999,2498,14
MARUTI ,2011,270000,998,18.9
TATA,2009,135000,1172,0
MARUTI ,2012,275000,998,18.9
JAGUAR ,2017,2625000,1999,13.6
LEXUS ,2019,5150000,2487,22.37
JAGUAR ,2017,3200000,1999,19.33
TATA,2015,503000,2179,14.1
VOLVO ,2019,3800000,1969,18
TOYOTA ,2016,2000000,2494,19.16
MARUTI ,2013,225000,998,21.79
MARUTI ,2018,740000,1248,27.39
HONDA ,2016,550000,1199,18.2
TOYOTA ,2013,750000,2494,12.99
MARUTI ,2019,650000,1197,22
TOYOTA ,2017,625000,1496,16.78
MARUTI ,2018,600000,1197,22
HYUNDAI,2017,450000,1186,24
BMW ,2019,5400000,1995,16.78
BMW ,2019,5500000,1995,16.78
HONDA ,2019,779000,1199,19
SKODA ,2016,645000,1598,14.3
VOLVO ,2018,2475000,1984,16.8
MAHINDRA ,2015,634000,1493,18.49
MARUTI ,2012,235000,998,19
HYUNDAI,2008,275000,1197,20.36
MAHINDRA ,2014,700000,2498,16.55
FIAT,2013,400000,1248,20.3
MARUTI ,2012,215000,796,19.7
HYUNDAI,2009,150000,1493,17.1
MARUTI ,2018,950000,1248,25.1
MAHINDRA ,2015,730000,1493,18.49
TATA,2012,135000,1405,19
HYUNDAI,2016,350000,1197,19.1
MAHINDRA ,2018,535000,1198,18.15
MARUTI ,2018,455000,1197,19
MARUTI ,2019,655000,1197,21.21
FORD,2019,800000,1498,23
TOYOTA ,2018,1100000,1496,17.8
MERCEDES,2016,3000000,2143,13
TOYOTA ,2012,1225000,2982,11.5
MAHINDRA ,2018,340000,1198,18.15
VOLKSWAGEN,2011,300000,1598,20.54
FORD,2016,370000,1196,18.16
MAHINDRA ,2013,330000,2523,15.96
HYUNDAI,2014,238000,1086,17.92
HYUNDAI,2013,200000,1086,17.92
NISSAN ,2014,320000,1461,22.71
HYUNDAI,2009,114999,1086,17.92
MARUTI ,2015,320000,998,20.51
HYUNDAI,2010,210000,1086,19.81
MAHINDRA ,2011,200000,2489,14
MARUTI ,2009,135000,1061,18.9
TATA,2015,350000,1405,19.09
MAHINDRA ,2014,350000,2523,13.6
MARUTI ,2017,680000,1248,28.4
MARUTI ,2010,200000,1248,17.8
RENAULT ,2016,300000,999,23.01
MAHINDRA ,2011,270000,2498,14
MARUTI ,2012,225000,998,18.9
MAHINDRA ,2008,250000,2523,13.6
MAHINDRA ,2015,590000,1493,18.49
HYUNDAI,2015,290000,814,21.1
MARUTI ,2010,100000,998,19
MARUTI ,2016,395000,998,23.1
HYUNDAI,2014,195000,814,21.1
TATA,2011,45000,624,26
MAHINDRA ,2009,270000,2523,13.6
CHEVROLET ,2014,600000,2499,13.58
HYUNDAI,2015,715000,1396,22.54
HYUNDAI,2019,600000,1197,18.6
MAHINDRA ,2019,875000,1493,18.49
MAHINDRA ,2011,420000,2179,13.5
HONDA ,2007,325000,2354,10.1
DATSUN ,2017,385000,1198,20.63
MAHINDRA ,2016,300000,1198,18.15
HYUNDAI,2012,335000,1396,21.9
MARUTI ,2014,300000,998,23.1
HYUNDAI,2004,80000,1495,13.2
MAHINDRA ,2012,400000,2523,15.96
TATA,2012,168000,1396,19.09
MAHINDRA ,2016,550000,2523,15.96
MAHINDRA ,2011,320000,2523,13.6
MAHINDRA ,2011,320000,2523,15.96
NISSAN ,2011,350000,1498,16.95
TATA,2013,280000,1248,21.02
HYUNDAI,2017,550000,1120,24.4
